Decade,Genre,Total_Sales_in_Decade
1980s,Misc,8.45M
1980s,Shooter,59.79M
1980s,Action,51.18M
1980s,Sports,32.28M
1980s,Role-Playing,15.25M
1980s,Platform,122.27M
1990s,Shooter,68.95M
1990s,Misc,63.54M
1990s,Platform,208.91M
1990s,Role-Playing,184.51M
1990s,Sports,146.57M
1990s,Action,139.28M
2000s,Action,853.67M
2000s,Sports,802.90M
2000s,Misc,484.27M
2000s,Shooter,433.22M
2000s,Role-Playing,415.99M
2000s,Platform,374.98M
2010s,Action,701.14M
2010s,Shooter,490.98M
2010s,Sports,350.25M
2010s,Role-Playing,318.65M
2010s,Misc,246.92M
2010s,Platform,121.92M
